total years;R;Pn;battery sc./base sc. cost ratio;battery sc. tot. cost;base sc. tot. cost
50;100;1024;101.327;1.00196e+12;9.88844e+11
55;5;1;342.67;4.03572e+09;1.17773e+09
55;5;2;342.67;8.07145e+09;2.35546e+09
55;5;4;342.67;1.61429e+10;4.71091e+09
55;5;8;342.67;3.22858e+10;9.42183e+09
55;5;16;342.67;6.45716e+10;1.88437e+10
55;5;32;344.772;1.30948e+11;3.7981e+10
55;5;64;344.772;2.61896e+11;7.5962e+10
55;5;128;344.772;5.23791e+11;1.51924e+11
55;5;256;344.772;1.04758e+12;3.03848e+11
55;5;512;344.772;2.09516e+12;6.07696e+11
55;5;1024;344.772;4.19033e+12;1.21539e+12
55;10;1;206.528;2.62332e+09;1.2702e+09
55;10;2;206.528;5.24664e+09;2.5404e+09
55;10;4;206.528;1.04933e+10;5.0808e+09
55;10;8;206.528;2.09866e+10;1.01616e+10
55;10;16;206.528;4.19731e+10;2.03232e+10
55;10;32;206.528;8.39463e+10;4.06464e+10
55;10;64;206.528;1.67893e+11;8.12928e+10
55;10;128;211.213;3.30098e+11;1.56287e+11
55;10;256;211.213;6.60195e+11;3.12574e+11
55;10;512;211.213;1.32039e+12;6.25147e+11
55;10;1024;211.213;2.64078e+12;1.25029e+12
55;15;1;168.149;2.05309e+09;1.22099e+09
55;15;2;168.149;4.10618e+09;2.44198e+09
55;15;4;166.812;8.33878e+09;4.99891e+09
55;15;8;166.812;1.66776e+10;9.99782e+09
55;15;16;166.812;3.33551e+10;1.99956e+10
55;15;32;166.812;6.67102e+10;3.99913e+10
55;15;64;166.812;1.3342e+11;7.99826e+10
55;15;128;166.812;2.66841e+11;1.59965e+11
55;15;256;165.892;5.28789e+11;3.18754e+11
55;15;512;165.892;1.05758e+12;6.37509e+11
55;15;1024;165.892;2.11516e+12;1.27502e+12
55;20;1;144.911;1.80434e+09;1.24513e+09
55;20;2;144.911;3.60868e+09;2.49027e+09
55;20;4;144.911;7.21736e+09;4.98054e+09
55;20;8;144.911;1.44347e+10;9.96108e+09
55;20;16;147.511;2.85258e+10;1.93381e+10
55;20;32;147.511;5.70517e+10;3.86762e+10
55;20;64;147.511;1.14103e+11;7.73523e+10
55;20;128;147.511;2.28207e+11;1.54705e+11
55;20;256;147.511;4.56413e+11;3.09409e+11
55;20;512;147.511;9.12827e+11;6.18819e+11
55;20;1024;148.847;1.81057e+12;1.21639e+12
55;25;1;135.473;1.60926e+09;1.18788e+09
55;25;2;135.473;3.21851e+09;2.37577e+09
55;25;4;135.473;6.43702e+09;4.75153e+09
55;25;8;135.473;1.2874e+10;9.50306e+09
55;25;16;135.473;2.57481e+10;1.90061e+10
55;25;32;134.989;5.1486e+10;3.81409e+10
55;25;64;134.989;1.02972e+11;7.62818e+10
55;25;128;134.989;2.05944e+11;1.52564e+11
55;25;256;134.989;4.11888e+11;3.05127e+11
55;25;512;134.989;8.23776e+11;6.10255e+11
55;25;1024;134.989;1.64755e+12;1.22051e+12
55;30;1;126.152;1.50362e+09;1.1919e+09
55;30;2;126.795;2.98833e+09;2.35681e+09
55;30;4;126.795;5.97666e+09;4.71362e+09
55;30;8;126.795;1.19533e+10;9.42725e+09
55;30;16;126.795;2.39066e+10;1.88545e+10
55;30;32;126.795;4.78133e+10;3.7709e+10
55;30;64;126.795;9.56265e+10;7.5418e+10
55;30;128;126.151;1.91902e+11;1.52122e+11
55;30;256;126.151;3.83805e+11;3.04244e+11
55;30;512;126.151;7.6761e+11;6.08487e+11
55;30;1024;126.151;1.53522e+12;1.21697e+12
55;35;1;119.836;1.42419e+09;1.18845e+09
55;35;2;119.836;2.84839e+09;2.3769e+09
55;35;4;119.836;5.69678e+09;4.75381e+09
55;35;8;118.624;1.15086e+10;9.7017e+09
55;35;16;118.624;2.30171e+10;1.94034e+10
55;35;32;118.624;4.60342e+10;3.88068e+10
55;35;64;118.624;9.20684e+10;7.76136e+10
55;35;128;118.624;1.84137e+11;1.55227e+11
55;35;256;118.624;3.68274e+11;3.10454e+11
55;35;512;118.624;7.36547e+11;6.20909e+11
55;35;1024;120.922;1.44064e+12;1.19139e+12
55;40;1;117.271;1.3644e+09;1.16346e+09
55;40;2;117.271;2.72881e+09;2.32692e+09
55;40;4;117.271;5.45761e+09;4.65385e+09
55;40;8;117.271;1.09152e+10;9.3077e+09
55;40;16;117.271;2.18304e+10;1.86154e+10
55;40;32;115.954;4.43509e+10;3.82486e+10
55;40;64;115.954;8.87019e+10;7.64972e+10
55;40;128;115.954;1.77404e+11;1.52994e+11
55;40;256;115.954;3.54808e+11;3.05989e+11
55;40;512;115.954;7.09615e+11;6.11977e+11
55;40;1024;115.954;1.41923e+12;1.22395e+12
55;45;1;111.184;1.3728e+09;1.23471e+09
55;45;2;111.184;2.74561e+09;2.46943e+09
55;45;4;111.184;5.49121e+09;4.93886e+09
55;45;8;111.184;1.09824e+10;9.87772e+09
55;45;16;111.184;2.19649e+10;1.97554e+10
55;45;32;111.184;4.39297e+10;3.95109e+10
55;45;64;111.184;8.78594e+10;7.90217e+10
55;45;128;112.714;1.72902e+11;1.53398e+11
55;45;256;112.714;3.45803e+11;3.06797e+11
55;45;512;112.714;6.91606e+11;6.13593e+11
55;45;1024;112.714;1.38321e+12;1.22719e+12
55;50;1;109.634;1.31388e+09;1.19842e+09
55;50;2;109.634;2.62776e+09;2.39685e+09
55;50;4;108.765;5.27262e+09;4.8477e+09
55;50;8;108.765;1.05452e+10;9.69539e+09
55;50;16;108.765;2.10905e+10;1.93908e+10
55;50;32;108.765;4.2181e+10;3.87816e+10
55;50;64;108.765;8.43619e+10;7.75631e+10
55;50;128;108.765;1.68724e+11;1.55126e+11
55;50;256;110.459;3.28704e+11;2.9758e+11
55;50;512;110.459;6.57408e+11;5.95161e+11
55;50;1024;110.459;1.31482e+12;1.19032e+12
55;55;1;107.867;1.25387e+09;1.16242e+09
55;55;2;107.867;2.50773e+09;2.32485e+09
55;55;4;107.867;5.01546e+09;4.64969e+09
55;55;8;107.867;1.00309e+10;9.29938e+09
55;55;16;106.606;2.07248e+10;1.94405e+10
55;55;32;106.606;4.14495e+10;3.8881e+10
55;55;64;106.606;8.28991e+10;7.77621e+10
55;55;128;106.606;1.65798e+11;1.55524e+11
55;55;256;106.606;3.31596e+11;3.11048e+11
55;55;512;106.606;6.63192e+11;6.22097e+11
55;55;1024;106.74;1.32413e+12;1.24052e+12
55;60;1;105.533;1.27847e+09;1.21145e+09
55;60;2;105.533;2.55695e+09;2.42289e+09
55;60;4;105.533;5.11389e+09;4.84578e+09
55;60;8;105.533;1.02278e+10;9.69156e+09
55;60;16;105.533;2.04556e+10;1.93831e+10
55;60;32;106.263;4.00145e+10;3.7656e+10
55;60;64;106.263;8.00289e+10;7.5312e+10
55;60;128;106.263;1.60058e+11;1.50624e+11
55;60;256;106.263;3.20116e+11;3.01248e+11
55;60;512;106.263;6.40231e+11;6.02496e+11
55;60;1024;106.263;1.28046e+12;1.20499e+12
55;65;1;104.036;1.24163e+09;1.19346e+09
55;65;2;104.036;2.48327e+09;2.38692e+09
55;65;4;104.036;4.96654e+09;4.77385e+09
55;65;8;104.036;9.93308e+09;9.54769e+09
55;65;16;104.036;1.98662e+10;1.90954e+10
55;65;32;104.036;3.97323e+10;3.81908e+10
55;65;64;104.036;7.94646e+10;7.63815e+10
55;65;128;103.114;1.61562e+11;1.56684e+11
55;65;256;103.114;3.23125e+11;3.13368e+11
55;65;512;103.114;6.46249e+11;6.26735e+11
55;65;1024;103.114;1.2925e+12;1.25347e+12
55;70;1;101.603;1.24372e+09;1.22409e+09
55;70;2;101.603;2.48744e+09;2.44819e+09
55;70;4;102.218;4.86884e+09;4.76317e+09
55;70;8;102.218;9.73768e+09;9.52635e+09
55;70;16;102.218;1.94754e+10;1.90527e+10
55;70;32;102.218;3.89507e+10;3.81054e+10
55;70;64;102.218;7.79014e+10;7.62108e+10
55;70;128;101.781;1.58118e+11;1.55351e+11
55;70;256;101.781;3.16236e+11;3.10702e+11
55;70;512;101.781;6.32472e+11;6.21403e+11
55;70;1024;101.781;1.26494e+12;1.24281e+12
55;75;1;101.193;1.22816e+09;1.21368e+09
55;75;2;101.193;2.45631e+09;2.42736e+09
55;75;4;101.026;4.90369e+09;4.85389e+09
55;75;8;101.026;9.80738e+09;9.70779e+09
55;75;16;101.026;1.96148e+10;1.94156e+10
55;75;32;101.026;3.92295e+10;3.88311e+10
55;75;64;101.026;7.8459e+10;7.76623e+10
55;75;128;101.899;1.54904e+11;1.52017e+11
55;75;256;101.899;3.09808e+11;3.04034e+11
55;75;512;101.899;6.19617e+11;6.08067e+11
55;75;1024;101.899;1.23923e+12;1.21613e+12
55;80;1;100.846;1.19768e+09;1.18763e+09
55;80;2;100.846;2.39536e+09;2.37526e+09
55;80;4;100.809;4.74835e+09;4.71022e+09
55;80;8;100.809;9.4967e+09;9.42044e+09
55;80;16;100.809;1.89934e+10;1.88409e+10
55;80;32;100.809;3.79868e+10;3.76818e+10
55;80;64;100.809;7.59736e+10;7.53635e+10
55;80;128;100.809;1.51947e+11;1.50727e+11
55;80;256;100.809;3.03894e+11;3.01454e+11
55;80;512;100.722;6.11092e+11;6.06709e+11
55;80;1024;100.722;1.22218e+12;1.21342e+12
55;85;1;99.617;1.18044e+09;1.18498e+09
55;85;2;99.617;2.36088e+09;2.36996e+09
55;85;4;99.617;4.72176e+09;4.73991e+09
55;85;8;99.617;9.44352e+09;9.47983e+09
55;85;16;99.1546;1.92485e+10;1.94126e+10
55;85;32;99.1546;3.8497e+10;3.88252e+10
55;85;64;99.1546;7.69939e+10;7.76504e+10
55;85;128;99.1546;1.53988e+11;1.55301e+11
55;85;256;99.1546;3.07976e+11;3.10602e+11
55;85;512;99.1546;6.15951e+11;6.21203e+11
55;85;1024;99.631;1.22734e+12;1.23189e+12
55;90;1;99.6474;1.19877e+09;1.20302e+09
55;90;2;99.6474;2.39755e+09;2.40603e+09
55;90;4;99.6474;4.7951e+09;4.81206e+09
55;90;8;99.6474;9.59019e+09;9.62412e+09
55;90;16;99.6474;1.91804e+10;1.92482e+10
55;90;32;98.7693;3.87787e+10;3.9262e+10
55;90;64;98.7693;7.75575e+10;7.85239e+10
55;90;128;98.7693;1.55115e+11;1.57048e+11
55;90;256;98.7693;3.1023e+11;3.14096e+11
55;90;512;98.7693;6.2046e+11;6.28191e+11
55;90;1024;98.7693;1.24092e+12;1.25638e+12
55;95;1;98.8601;1.17779e+09;1.19137e+09
55;95;2;98.8601;2.35558e+09;2.38274e+09
55;95;4;98.8601;4.71115e+09;4.76548e+09
55;95;8;98.8601;9.42231e+09;9.53095e+09
55;95;16;98.8601;1.88446e+10;1.90619e+10
55;95;32;98.8601;3.76892e+10;3.81238e+10
55;95;64;98.2844;7.65294e+10;7.78652e+10
55;95;128;98.2844;1.53059e+11;1.5573e+11
55;95;256;98.2844;3.06118e+11;3.11461e+11
55;95;512;98.2844;6.12235e+11;6.22922e+11
55;95;1024;98.2844;1.22447e+12;1.24584e+12
55;100;1;97.7495;1.18926e+09;1.21664e+09
55;100;2;97.7495;2.37853e+09;2.43329e+09
55;100;4;97.5427;4.86567e+09;4.98825e+09
55;100;8;97.5427;9.73134e+09;9.97649e+09
55;100;16;97.5427;1.94627e+10;1.9953e+10
55;100;32;97.5427;3.89253e+10;3.9906e+10
55;100;64;97.5427;7.78507e+10;7.98119e+10
55;100;128;97.5427;1.55701e+11;1.59624e+11
55;100;256;97.4059;3.05201e+11;3.1333e+11
55;100;512;97.4059;6.10403e+11;6.26659e+11
55;100;1024;97.4059;1.22081e+12;1.25332e+12
60;5;1;297.55;4.32867e+09;1.45477e+09
60;5;2;297.55;8.65733e+09;2.90954e+09
60;5;4;297.55;1.73147e+10;5.81907e+09
60;5;8;293.83;3.4528e+10;1.1751e+10
60;5;16;293.83;6.9056e+10;2.3502e+10
60;5;32;293.83;1.38112e+11;4.7004e+10
60;5;64;293.83;2.76224e+11;9.4008e+10
60;5;128;293.83;5.52448e+11;1.88016e+11
60;5;256;293.83;1.1049e+12;3.76032e+11
60;5;512;308.99;2.17302e+12;7.03266e+11
60;5;1024;308.99;4.34604e+12;1.40653e+12
60;10;1;197.928;2.71867e+09;1.37357e+09
60;10;2;197.928;5.43734e+09;2.74713e+09
60;10;4;197.928;1.08747e+10;5.49426e+09
60;10;8;194.31;2.20393e+10;1.13424e+10
60;10;16;194.31;4.40785e+10;2.26847e+10
60;10;32;194.31;8.81571e+10;4.53694e+10
60;10;64;194.31;1.76314e+11;9.07388e+10
60;10;128;194.31;3.52628e+11;1.81478e+11
60;10;256;194.31;7.05257e+11;3.62955e+11
60;10;512;184.354;1.48536e+12;8.0571e+11
60;10;1024;184.354;2.97072e+12;1.61142e+12
60;15;1;150.225;2.36402e+09;1.57365e+09
60;15;2;150.225;4.72804e+09;3.14731e+09
60;15;4;150.225;9.45609e+09;6.29461e+09
60;15;8;150.225;1.89122e+10;1.25892e+10
60;15;16;155.591;3.66735e+10;2.35705e+10
60;15;32;155.591;7.33471e+10;4.71409e+10
60;15;64;155.591;1.46694e+11;9.42819e+10
60;15;128;155.591;2.93388e+11;1.88564e+11
60;15;256;155.591;5.86777e+11;3.77127e+11
60;15;512;155.591;1.17355e+12;7.54255e+11
60;15;1024;156.024;2.28154e+12;1.4623e+12
60;20;1;137.494;1.96346e+09;1.42803e+09
60;20;2;137.494;3.92691e+09;2.85606e+09
60;20;4;137.494;7.85382e+09;5.71211e+09
60;20;8;137.494;1.57076e+10;1.14242e+10
60;20;16;137.165;3.17123e+10;2.31198e+10
60;20;32;137.165;6.34246e+10;4.62395e+10
60;20;64;137.165;1.26849e+11;9.2479e+10
60;20;128;137.165;2.53698e+11;1.84958e+11
60;20;256;137.165;5.07397e+11;3.69916e+11
60;20;512;137.165;1.01479e+12;7.39832e+11
60;20;1024;137.129;2.03664e+12;1.4852e+12
60;25;1;126.087;1.82875e+09;1.45039e+09
60;25;2;126.087;3.6575e+09;2.90078e+09
60;25;4;126.087;7.31499e+09;5.80156e+09
60;25;8;126.087;1.463e+10;1.16031e+10
60;25;16;126.087;2.926e+10;2.32062e+10
60;25;32;126.776;5.85544e+10;4.61875e+10
60;25;64;126.776;1.17109e+11;9.23749e+10
60;25;128;126.776;2.34218e+11;1.8475e+11
60;25;256;126.776;4.68435e+11;3.695e+11
60;25;512;126.776;9.3687e+11;7.38999e+11
60;25;1024;125.655;1.89309e+12;1.50657e+12
60;30;1;118.368;1.7415e+09;1.47126e+09
60;30;2;118.368;3.48301e+09;2.94252e+09
