total years;R;Pn;battery sc./base sc. cost ratio;battery sc. tot. cost;base sc. tot. cost
5;5;1;4468.51;2.24361e+09;5.02094e+07
5;5;2;4468.51;4.48722e+09;1.00419e+08
5;5;4;4468.51;8.97444e+09;2.00837e+08
5;5;8;4468.51;1.79489e+10;4.01675e+08
5;5;16;4468.51;3.58978e+10;8.0335e+08
5;5;32;4468.51;7.17955e+10;1.6067e+09
5;5;64;4468.51;1.43591e+11;3.2134e+09
5;5;128;4468.51;2.87182e+11;6.4268e+09
5;5;256;4468.51;5.74364e+11;1.28536e+10
5;5;512;4468.51;1.14873e+12;2.57072e+10
5;5;1024;4468.51;2.29746e+12;5.14144e+10
5;10;1;2275.69;1.14261e+09;5.02094e+07
5;10;2;2275.69;2.28522e+09;1.00419e+08
5;10;4;2275.69;4.57044e+09;2.00837e+08
5;10;8;2275.69;9.14088e+09;4.01675e+08
5;10;16;2275.69;1.82818e+10;8.0335e+08
5;10;32;2275.69;3.65635e+10;1.6067e+09
5;10;64;2275.69;7.3127e+10;3.2134e+09
5;10;128;2275.69;1.46254e+11;6.4268e+09
5;10;256;2275.69;2.92508e+11;1.28536e+10
5;10;512;2275.69;5.85016e+11;2.57072e+10
5;10;1024;2275.69;1.17003e+12;5.14144e+10
5;15;1;1544.75;7.7561e+08;5.02094e+07
5;15;2;1544.75;1.55122e+09;1.00419e+08
5;15;4;1544.75;3.10244e+09;2.00837e+08
5;15;8;1544.75;6.20488e+09;4.01675e+08
5;15;16;1544.75;1.24098e+10;8.0335e+08
5;15;32;1544.75;2.48195e+10;1.6067e+09
5;15;64;1544.75;4.9639e+10;3.2134e+09
5;15;128;1544.75;9.92781e+10;6.4268e+09
5;15;256;1544.75;1.98556e+11;1.28536e+10
5;15;512;1544.75;3.97112e+11;2.57072e+10
5;15;1024;1544.75;7.94224e+11;5.14144e+10
5;20;1;1179.28;5.9211e+08;5.02094e+07
5;20;2;1179.28;1.18422e+09;1.00419e+08
5;20;4;1179.28;2.36844e+09;2.00837e+08
5;20;8;1179.28;4.73688e+09;4.01675e+08
5;20;16;1141.46;9.49649e+09;8.31959e+08
5;20;32;1141.46;1.8993e+10;1.66392e+09
5;20;64;1141.46;3.79859e+10;3.32783e+09
5;20;128;1141.46;7.59719e+10;6.65567e+09
5;20;256;1141.46;1.51944e+11;1.33113e+10
5;20;512;1141.46;3.03888e+11;2.66227e+10
5;20;1024;1141.46;6.07775e+11;5.32454e+10
5;25;1;929.72;4.8343e+08;5.19974e+07
5;25;2;929.72;9.66861e+08;1.03995e+08
